id;fecha;valor;fecha_pago
1;2020-04-21T18:02:01;66735;2020-04-20T22:39:28
2;2020-04-20T23:57:54;25896;2020-04-21T12:03:50
3;2020-04-21T05:42:13;17222;2020-04-21T08:56:02
4;2020-04-21T05:27:21;97186;2020-04-21T09:58:16
5;2020-04-21T00:10:59;26606;2020-04-21T07:40:57
6;2020-04-21T10:34:15;87056;2020-04-21T10:38:32
7;2020-04-21T10:17:11;23235;2020-04-20T23:52:31
8;2020-04-21T15:01:16;11237;2020-04-21T05:36:31
9;2020-04-21T02:38:56;67822;2020-04-20T23:48:54
10;2020-04-21T15:16:27;99908;2020-04-20T20:05:15
